attributes.authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,attributes.doi                    ,attributes.isbn                  ,attributes.iso-journal                  ,attributes.issue ,attributes.medline-journal ,attributes.pub-abstract ,attributes.pub-title                                                                                                                                                                                                           ,attributes.pub-type                                                                                                                                                      ,attributes.pub-url                                                         ,attributes.published-year ,attributes.pubmed-central-id ,attributes.pubmed-id ,attributes.raw-pages ,attributes.samples-count ,attributes.studies-count ,attributes.volume                                      ,id       ,links.self                                                      ,relationships.samples.links.related                                     ,relationships.studies.links.related                                     ,type
"Zhang S, Liao SA, Yu X, Lu H, Xian JA, Guo H, Wang A, Xie J."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,10.1007/s00253-015-6405-8         ,0175-7598; 1432-0614;            ,Appl Microbiol Biotechnol               ,                 ,                           ,                        ,"Microbial diversity of mangrove sediment in Shenzhen Bay and gene cloning, characterization of an isolated phytase-producing strain of SPC09 B. cereus."                                                                      ,"research support, non-u.s. gov't; journal article"                                                                                                                      ,                                                                           ,                     2015 ,                             ,2.5646962e+07        ,5339-5350            ,                       8 ,                       1 ,99                                                     ,25646962 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25646962 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25646962/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25646962/studies ,publications
"Costa MC, Stämpfli HR, Arroyo LG, Allen-Vercoe E, Gomes RG, Weese JS."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,10.1186/s12917-015-0335-7         ,1746-6148                        ,BMC Vet Res                             ,                 ,                           ,                        ,Changes in the equine fecal microbiota associated with the use of systemic antimicrobial drugs.                                                                                                                                ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5644524e+07        ,19                   ,                       1 ,                       1 ,11                                                     ,25644524 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25644524 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25644524/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25644524/studies ,publications
"Choi DH, Park KT, An SM, Lee K, Cho JC, Lee JH, Kim D, Jeon D, Noh JH."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,10.1371/journal.pone.0116271      ,1932-6203                        ,PLoS One                                ,                 ,                           ,                        ,Pyrosequencing revealed SAR116 clade as dominant dddP-containing bacteria in oligotrophic NW Pacific Ocean.                                                                                                                    ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5615446e+07        ,e0116271             ,                       1 ,                       1 ,10                                                     ,25615446 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25615446 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25615446/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25615446/studies ,publications
"Kleiner M, Hooper LV, Duerkop BA."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.1186/s12864-014-1207-4         ,1471-2164                        ,BMC Genomics                            ,                 ,                           ,                        ,Evaluation of methods to purify virus-like particles for metagenomic sequencing of intestinal viromes.                                                                                                                         ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5608871e+07        ,7                    ,                       7 ,                       1 ,16                                                     ,25608871 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25608871 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25608871/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25608871/studies ,publications
"Cui L, Lucht L, Tipton L, Rogers MB, Fitch A, Kessinger C, Camp D, Kingsley L, Leo N, Greenblatt RM, Fong S, Stone S, Dermand JC, Kleerup EC, Huang L, Morris A, Ghedin E."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1164/rccm.201409-1583oc        ,1073-449x; 1535-4970;            ,Am J Respir Crit Care Med               ,                 ,                           ,                        ,Topographic diversity of the respiratory tract mycobiome and alteration in HIV and lung disease.                                                                                                                               ,"research support, non-u.s. gov't; research-article; journal article; research support, n.i.h., extramural"                                                              ,                                                                           ,                     2015 ,                             ,2.5603113e+07        ,932-942              ,                     466 ,                       1 ,191                                                    ,25603113 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25603113 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25603113/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25603113/studies ,publications
"Chaput DL, Hansel CM, Burgos WD, Santelli CM."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,10.1128/aem.03643-14              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,Profiling microbial communities in manganese remediation systems treating coal mine drainage.                                                                                                                                  ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5595765e+07        ,2189-2198            ,                      16 ,                       1 ,81                                                     ,25595765 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595765 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595765/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595765/studies ,publications
"Thaler M, Lovejoy C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,10.1128/aem.02737-14              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,Biogeography of heterotrophic flagellate populations indicates the presence of generalist and specialist taxa in the Arctic Ocean.                                                                                             ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5595764e+07        ,2137-2148            ,                      23 ,                       1 ,81                                                     ,25595764 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595764 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595764/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595764/studies ,publications
"Muehe EM, Weigold P, Adaktylou IJ, Planer-Friedrich B, Kraemer U, Kappler A, Behrens S."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,10.1128/aem.03359-14              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,Rhizosphere microbial community composition affects cadmium and zinc uptake by the metal-hyperaccumulating plant Arabidopsis halleri.                                                                                          ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5595759e+07        ,2173-2181            ,                       3 ,                       1 ,81                                                     ,25595759 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595759 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595759/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25595759/studies ,publications
"Schirmer M, Ijaz UZ, D'Amore R, Hall N, Sloan WT, Quince C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,10.1093/nar/gku1341               ,0305-1048                        ,Nucleic Acids Res                       ,                 ,                           ,                        ,Insight into biases and sequencing errors for amplicon sequencing with the Illumina MiSeq platform.                                                                                                                            ,"journal article; research support, non-u.s. gov't; research-article"                                                                                                    ,                                                                           ,                     2015 ,                             ,2.558622e+07         ,e37                  ,                       1 ,                       1 ,43                                                     ,25586220 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25586220 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25586220/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25586220/studies ,publications
"Speth DR, Russ L, Kartal B, Op den Camp HJ, Dutilh BE, Jetten MS."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.1128/genomea.01415-14          ,2169-8287                        ,Genome Announc                          ,                 ,                           ,                        ,"Draft Genome Sequence of Anammox Bacterium ""Candidatus Scalindua brodae,"" Obtained Using Differential Coverage Binning of Sequencing Data from Two Reactor Enrichments."                                                    ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5573945e+07        ,n/a                  ,                       1 ,                       1 ,3                                                      ,25573945 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25573945 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25573945/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25573945/studies ,publications
"Gustavsen JA, Winget DM, Tian X, Suttle CA."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,10.3389/fmicb.2014.00703          ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,High temporal and spatial diversity in marine RNA viruses implies that they have an important role in mortality and structuring plankton communities.                                                                          ,research-article; journal article                                                                                                                                        ,                                                                           ,                     2014 ,                             ,2.5566218e+07        ,703                  ,                       1 ,                       1 ,5                                                      ,25566218 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25566218 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25566218/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25566218/studies ,publications
"Gendrin M, Rodgers FH, Yerbanga RS, Ouédraogo JB, Basáñez MG, Cohuet A, Christophides GK."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.1038/ncomms6921                ,2041-1723                        ,Nat Commun                              ,                 ,                           ,                        ,Antibiotics in ingested human blood affect the mosquito microbiota and capacity to transmit malaria.                                                                                                                           ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5562286e+07        ,5921                 ,                      30 ,                       1 ,6                                                      ,25562286 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25562286 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25562286/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25562286/studies ,publications
"Korlević M, Pop Ristova P, Garić R, Amann R, Orlić S."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,10.1128/aem.03410-14              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,"Bacterial diversity in the South Adriatic Sea during a strong, deep winter convection year."                                                                                                                                  ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5548042e+07        ,1715-1726            ,                      60 ,                       1 ,81                                                     ,25548042 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25548042 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25548042/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25548042/studies ,publications
"Davis-Richardson AG, Ardissone AN, Dias R, Simell V, Leonard MT, Kemppainen KM, Drew JC, Schatz D, Atkinson MA, Kolaczkowski B, Ilonen J, Knip M, Toppari J, Nurminen N, Hyöty H, Veijola R, Simell T, Mykkänen J, Simell O, Triplett EW."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.3389/fmicb.2014.00678          ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes.                                                                                                         ,journal article                                                                                                                                                          ,                                                                           ,                     2014 ,                             ,2.5540641e+07        ,678                  ,                     838 ,                       1 ,5                                                      ,25540641 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25540641 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25540641/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25540641/studies ,publications
"Lang JM, Eisen JA, Zivkovic AM."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,10.7717/peerj.659                 ,2167-8359                        ,PeerJ                                   ,                 ,                           ,                        ,The microbes we eat: abundance and taxonomy of microbes consumed in a day's worth of meals for three diet types.                                                                                                               ,journal article                                                                                                                                                          ,                                                                           ,                     2014 ,                             ,2.5538865e+07        ,e659                 ,                      15 ,                       1 ,2                                                      ,25538865 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25538865 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25538865/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25538865/studies ,publications
"Dees MW, Lysøe E, Nordskog B, Brurberg MB."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1128/aem.03470-14              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,Bacterial communities associated with surfaces of leafy greens: shift in composition and decrease in richness over time.                                                                                                       ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5527554e+07        ,1530-1539            ,                      51 ,                       1 ,81                                                     ,25527554 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25527554 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25527554/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25527554/studies ,publications
"Mysara M, Saeys Y, Leys N, Raes J, Monsieurs P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,10.1128/aem.02896-14              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,"CATCh, an ensemble classifier for chimera detection in 16S rRNA sequencing studies."                                                                                                                                          ,journal article                                                                                                                                                          ,                                                                           ,                     2015 ,                             ,2.5527546e+07        ,1573-1584            ,                       1 ,                       1 ,81                                                     ,25527546 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25527546 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25527546/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25527546/studies ,publications
"Bengtsson-Palme J, Boulund F, Fick J, Kristiansson E, Larsson DG."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.3389/fmicb.2014.00648          ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,Shotgun metagenomics reveals a wide array of antibiotic resistance genes and mobile elements in a polluted lake in India.                                                                                                      ,journal article                                                                                                                                                          ,                                                                           ,                     2014 ,                             ,2.5520706e+07        ,648                  ,                       2 ,                       2 ,5                                                      ,25520706 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25520706 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25520706/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25520706/studies ,publications
"Flores GE, Caporaso JG, Henley JB, Rideout JR, Domogala D, Chase J, Leff JW, Vázquez-Baeza Y, Gonzalez A, Knight R, Dunn RR, Fierer N."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,10.1186/s13059-014-0531-y         ,1474-7596; 1474-760x; 1465-6906; ,Genome Biol                             ,                 ,                           ,                        ,Temporal variability is a personalized feature of the human microbiome.                                                                                                                                                        ,journal article                                                                                                                                                          ,                                                                           ,                     2014 ,                             ,2.5517225e+07        ,531                  ,                     915 ,                       1 ,15                                                     ,25517225 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25517225 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25517225/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25517225/studies ,publications
"Leamy LJ, Kelly SA, Nietfeldt J, Legge RM, Ma F, Hua K, Sinha R, Peterson DA, Walter J, Benson AK, Pomp D."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1186/s13059-014-0552-6         ,1474-7596; 1474-760x; 1465-6906; ,Genome Biol                             ,                 ,                           ,                        ,"Host genetics and diet, but not immunoglobulin  A expression, converge to shape compositional  features of the gut microbiome in an advanced  intercross population of mice."                                                 ,journal article                                                                                                                                                          ,                                                                           ,                     2014 ,                             ,2.5516416e+07        ,552                  ,                     463 ,                       1 ,15                                                     ,25516416 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25516416 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25516416/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/25516416/studies ,publications
