accession,sample-name,geo-loc-name,studies,biome
ERS1138742,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138743,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138744,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138745,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138746,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138747,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138748,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138749,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138750,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138751,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138752,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138753,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138754,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138755,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138756,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138757,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138758,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138759,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138760,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138761,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138762,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138763,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138764,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138765,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138766,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138767,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138768,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138769,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138770,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138771,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138772,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138773,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138774,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138775,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138776,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138777,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138778,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138779,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138780,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138781,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138782,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138783,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138784,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138785,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138786,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138787,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138788,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138789,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138790,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138791,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138792,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138793,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138794,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138795,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138796,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138797,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138798,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138799,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138800,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138801,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138802,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138803,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138804,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138805,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138806,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138807,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
